name,amenity,historic,tourism,leisure,addr:street,latitude,longitude
,post_box,,,,,48.6872064,6.1628582
,recycling,,,,,48.6883977,6.160095
Place Commanderie,bicycle_rental,,,,,48.6858518,6.1674456
Commanderie - Chalnot,bicycle_rental,,,,,48.6868589,6.1722364
Gare Saint-Léon,bicycle_rental,,,,,48.6895927,6.1722984
Saint-Sébastien - Saint-Thiébaut,bicycle_rental,,,,,48.6886915,6.1793496
Marché Central,bicycle_rental,,,,,48.6891697,6.1838427
Place Dombasle,bicycle_rental,,,,,48.6918509,6.1781901
Place de la Carrière,bicycle_rental,,,,,48.6945726,6.1821918
Cours Léopold - Saint-Michel,bicycle_rental,,,,,48.6957178,6.1767737
Porte de la Craffe,bicycle_rental,,,,,48.6984552,6.1779375
3 Maisons - Charles V,bicycle_rental,,,,,48.7012234,6.1769554
Conservatoire - Manufacture,bicycle_rental,,,,,48.6957309,6.1712253
Hôpital Central,bicycle_rental,,,,,48.6834257,6.1902912
Hôpital Saint-Julien,bicycle_rental,,,,,48.685891,6.1929421
Place Colonel Driant,bicycle_rental,,,,,48.6920811,6.1872489
Port Sainte-Catherine,bicycle_rental,,,,,48.69553,6.1904219
Promenade des Canaux,bicycle_rental,,,,,48.6928364,6.1963211
Porte Saint-Nicolas,bicycle_rental,,,,,48.6848122,6.1873286
Dominicains - Fourier,bicycle_rental,,,,,48.6924393,6.1833039
,parking_entrance,,,,,48.6857994,6.173988
,toilets,,,,,48.6895482,6.1782484
,recycling,,,,,48.6858221,6.167317
Croix de Bourgogne,,monument,,,,48.6852559,6.1710557
LCL,atm,,,,,48.6893224,6.1726934
,recycling,,,,,48.6860951,6.187957
Parking Monseigneur Thouvenin,parking,,,,,48.6888021,6.1780346
Kinepolis Nancy,cinema,,,,,48.6918103,6.1958243
,post_box,,,,,48.6852977,6.1610482
La Place,nightclub,,,,,48.6937938,6.1825077
L'Alsace à Table,restaurant,,,,,48.6940166,6.1807088
,recycling,,,,,48.6823577,6.1661466
,parking_entrance,,,,,48.6936094,6.1787777
,parking_entrance,,,,,48.6934337,6.1779975
,parking_entrance,,,,,48.692872,6.1775929
Caisse d'Épargne,atm,,,,,48.6917248,6.1778545
Caisse d'Épargne,atm,,,,,48.6915519,6.1779872
,toilets,,,,,48.6855666,6.1718059
Hôtel Littéraire Stendhal,,,hotel,,Place Monseigneur Ruch,48.6917582,6.186497
,,wayside_shrine,,,,48.6891651,6.183541
Théâtre de la Manufacture,theatre,,,,,48.6960807,6.1718764
,,memorial,,,,48.676729,6.1736601
,bench,,,,,48.673039,6.1758723
,bench,,,,,48.673077,6.17573
,bench,,,,,48.673139,6.1756524
,bench,,,,,48.6732138,6.1757369
,vending_machine,,,,,48.6828141,6.1660517
Université de la Culture Permanente,college,,,,,48.6855481,6.1705002
,parking_entrance,,,,,48.6862173,6.1738287
Hungry Sushi,restaurant,,,,,48.6841479,6.1772376
,post_box,,,,,48.6788528,6.1846248
Le Black Baron,pub,,,,,48.6846961,6.1797333
Auto-École JC,driving_school,,,,,48.6724402,6.1725554
Bar au dit vin,bar,,,,,48.6910048,6.1710947
Le Ch'timi,bar,,,,,48.6965467,6.179726
L'Avant Première,restaurant,,,,,48.6913546,6.1956945
Parking Dom Calmet,parking,,,,,48.6916239,6.1811413
Fami Thé,fast_food,,,,,48.6915635,6.1803795
Confédération Générale du Travail Ville de Nancy,social_centre,,,,,48.69294,6.1849502
Parking Saint-Dizier,parking,,,,,48.6892457,6.184451
Crédit Agricole,bank,,,,,48.6893716,6.1783511
Abracadabra,restaurant,,,,,48.7024634,6.1808556
Residhome Apparthotel Nancy Lorraine,,,hotel,,,48.6941144,6.1954989
,bench,,,,,48.681909,6.1742146
,drinking_water,,,,,48.681023,6.1716275
Buste Monseigneur Petit,,memorial,,,,48.6819144,6.1743146
Émile Coué,,memorial,,,,48.6814394,6.170834
Sergent Blandan,,memorial,,,,48.6722261,6.1723915
,bench,,,,,48.6818275,6.1741663
,parking_entrance,,,,,48.6873672,6.190398
Maison Gaudin,,building,,,,48.6885449,6.1904925
La Poste Nancy Porte Saint-Georges,post_office,,,,,48.6881272,6.1919259
Pharmacie de la Salle,pharmacy,,,,,48.6870612,6.1888339
Pharmacie des Jardins d'Eau,pharmacy,,,,,48.694834,6.194108
Novotel Suites Nancy Centre,,,hotel,,,48.6927217,6.1952019
Brasserie Le Midi Pile,bar,,,,,48.7010909,6.176654
Crédit Mutuel,atm,,,,,48.700611,6.177871
Crédit Mutuel,bank,,,,,48.7007994,6.177827
,post_box,,,,,48.6916694,6.1649603
,recycling,,,,,48.6930533,6.1407198
,post_box,,,,,48.6923776,6.1463428
Pizzas,fast_food,,,,,48.6921373,6.1483773
,post_box,,,,,48.6917303,6.1494485
,post_box,,,,,48.6901682,6.1568117
BNP Paribas,bank,,,,,48.6881566,6.1653418
Banque Populaire,bank,,,,,48.6880291,6.165738
Hôtel Poincaré,,,hotel,,,48.6885494,6.167189
Bibliothèque pour Tous,library,,,,,48.6886542,6.1675644
,post_box,,,,,48.6931654,6.1403985
Auto-école Boufflers,driving_school,,,,,48.693464,6.139842
Restaurant Beauregard,restaurant,,,,,48.69348,6.139682
Société Générale,bank,,,,,48.6921006,6.1680559
McDonald's,fast_food,,,,,48.6900162,6.1831638
Caisse d'Épargne,bank,,,,,48.6905692,6.1825088
Le Medea,fast_food,,,,,48.6904407,6.1715852
Pizzeria Adriatica,restaurant,,,,,48.6902854,6.171499
Pizza Roma,fast_food,,,,,48.6900267,6.1720015
,post_box,,,,,48.689897,6.1714943
,bicycle_parking,,,,,48.689409,6.172528
,bicycle_parking,,,,,48.6899247,6.1729962
Rice and curry,fast_food,,,,,48.6904159,6.1728211
Hôtel de Flore,,,hotel,,,48.6909144,6.1744682
Bouillon du terroir,restaurant,,,,,48.6911257,6.1749582
Brasserie Simone,bar,,,,,48.6896111,6.1753725
Brasserie Simone,restaurant,,,,,48.6896447,6.1754813
Burger Kebab,fast_food,,,,,48.6893791,6.1760135
Banque Populaire,bank,,,,,48.6894785,6.1786853
Crystal Hôtel,,,hotel,,,48.6900334,6.1781471
CCF,bank,,,,,48.6898427,6.1792926
KFC,fast_food,,,,,48.6902061,6.1809571
Le Chagnot,restaurant,,,,,48.6906688,6.1824189
Papa Fries,fast_food,,,,,48.691235,6.1835947
Snack Marmaris,fast_food,,,,,48.6917349,6.1851445
Le Gentilly,bar,,,,,48.694933,6.13885
,post_box,,,,,48.6948565,6.1387197
,post_box,,,,,48.6944385,6.1440914
Pomme de Pain,fast_food,,,,,48.6895245,6.1788275
Nancy Thermal,bicycle_rental,,,,,48.6795944,6.1671514
Marché d'Haussonville,bicycle_rental,,,,,48.672246,6.1656732
Les Deux Rives,bicycle_rental,,,,,48.6953458,6.195203
Fac de Lettres,bicycle_rental,,,,,48.6928829,6.168452
CIC,bank,,,,,48.6898604,6.1774793
Caméo Saint-Sébastien,cinema,,,,,48.6889331,6.1787659
Parking Kennedy,parking,,,,,48.685952,6.1739307
Zhong Pin,restaurant,,,,,48.6839717,6.1730019
Presto Pizzas,fast_food,,,,,48.6844606,6.1858192
Blonde — Wine and beer place,bar,,,,,48.6901648,6.1842877
La Flamme du chef,restaurant,,,,,48.690077,6.1839165
Kiki,fast_food,,,,,48.6899967,6.1836665
Le Coq en Fer,restaurant,,,,,48.6903992,6.1847646
Blend,cafe,,,,,48.6900568,6.183854
Voyou delivery,fast_food,,,,,48.6900323,6.1837773
La Julienne,restaurant,,,,,48.6909478,6.1847178
El Gusto,restaurant,,,,,48.6911674,6.1845888
L'annexe,pub,,,,,48.6901411,6.1841145
Makewok,fast_food,,,,,48.6900119,6.1837143
Papilles Alain,restaurant,,,,,48.6954256,6.1810115
La Gavotte,restaurant,,,,,48.6962576,6.1803447
La cave du Père Magott,restaurant,,,,,48.6962154,6.1803917
Flambock,restaurant,,,,,48.6944069,6.1817787
Butter,restaurant,,,,,48.6952454,6.1811209
Le Speakeasy,bar,,,,,48.6955448,6.1809391
IPN BAR,bar,,,,,48.6946267,6.1814856
Carte Blanche,restaurant,,,,,48.6947899,6.1815305
Banque Populaire,bank,,,,,48.684095,6.18857
Banque Populaire,atm,,,,,48.684099,6.188581
Café Leffe,cafe,,,,,48.6895807,6.1752755
Quick,fast_food,,,,,48.6895269,6.1761692
Jean Lamour,restaurant,,,,Place Stanislas,48.6938547,6.1827025
Les Oliviers,restaurant,,,,,48.695614,6.177814
Akoya Sushi,restaurant,,,,,48.7011832,6.1765845
,post_box,,,,,48.7013788,6.1764626
Pharmacie de la Croix,pharmacy,,,,,48.7025757,6.1756487
CIC,bank,,,,,48.7013689,6.1767562
Crédit Agricole,bank,,,,,48.7018834,6.1762241
Little Faubourg,bar,,,,,48.7010242,6.1775633
Pharmacie de la Craffe,pharmacy,,,,,48.7009567,6.177799
CIC,atm,,,,,48.7013409,6.1767997
Crédit Agricole,atm,,,,,48.7018476,6.1762539
Crédit Agricole,atm,,,,,48.7018598,6.1762438
3 Maisons Kebab,fast_food,,,,,48.7017923,6.1763
Brasserie de la Croix,cafe,,,,,48.7027708,6.1750331
La Citadelle,fast_food,,,,,48.7010938,6.1779914
BNP Paribas,atm,,,,,48.7007195,6.1780923
Banque Populaire,atm,,,,,48.7028368,6.1754188
BNP Paribas,bank,,,,,48.7006859,6.1780991
Madame,restaurant,,,,,48.7004691,6.1781586
Hops Bar,bar,,,,,48.6985627,6.1781542
La Brûlerie,cafe,,,,,48.6983813,6.1782966
The Reddington Bar,bar,,,,,48.6997872,6.1780936
Le Pacha du Bosphore,restaurant,,,,,48.6983486,6.1783256
Brasserie de la Vieille Ville,restaurant,,,,,48.6978298,6.1787848
Hôtel d'Haussonville,,,hotel,,,48.6965813,6.1782616
Bistrot Gros,restaurant,,,,,48.6956716,6.1778932
Pharmacie Saint-Jean,pharmacy,,,,,48.6895437,6.177165
La Poste Nancy Commanderie,post_office,,,,,48.6853678,6.1665169
Hôtel Mercure Nancy Centre Gare,,,hotel,,,48.6907749,6.1748147
,,memorial,,,,48.6886259,6.1661455
,toilets,,,,,48.688401,6.1659443
Columbarium,,tomb,,,,48.6911028,6.1614305
,dentist,,,,,48.7016871,6.1760572
Caisse d'Épargne,bank,,,,,48.7016304,6.1764547
Le Souvenir,,monument,artwork,,,48.6897183,6.1779835
Angeluzzo,restaurant,,,,,48.6919193,6.1956748
Express Bar,,,hotel,,,48.6892775,6.1753467
Qualys-Hôtel Nancy Centre,,,hotel,,,48.6894731,6.1757517
